SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1433 Page St,San Francisco,CA,94117,1598000,3,2.0,Haight Ashbury,1785,,1908,1,895,250,Active,,,http://www.redfin.com/CA/San-Francisco/1433-Page-St-94117/home/1888503,San Francisco MLS,506455,N,Y,37.771007,-122.444344
MLS Listing,,Condo/Co-op,1370 Hayes St #1372,San Francisco,CA,94117,1498000,4,2.25,North Panhandle,1706,,1900,4,878,286,Active,,,http://www.redfin.com/CA/San-Francisco/1370-Hayes-St-94117/unit-1372/home/148065731,San Francisco MLS,506674,N,Y,37.7751235,-122.4390217
MLS Listing,,Condo/Co-op,355 1st St Unit S208,San Francisco,CA,94105,599000,0,1.0,South Beach,432,,2004,5,1387,746,Active,,,http://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-S208/home/939546,San Francisco MLS,506618,N,Y,37.7870311,-122.3936421
MLS Listing,,Condo/Co-op,1856 Franklin St #8,San Francisco,CA,94109,799000,1,1.0,Pacific Heights,719,,1914,9,1111,377,Active,,,http://www.redfin.com/CA/San-Francisco/1856-Franklin-St-94109/unit-8/home/40938618,San Francisco MLS,506314,N,Y,37.7918542,-122.4240487
MLS Listing,,Condo/Co-op,281 Clara St #8,San Francisco,CA,94107,899000,1,1.5,South of Market,989,,1996,9,909,536,Active,,,http://www.redfin.com/CA/San-Francisco/281-Clara-St-94107/unit-8/home/12395879,San Francisco MLS,506265,N,Y,37.7779949,-122.4039648
MLS Listing,,Condo/Co-op,125 Gilbert St #5,San Francisco,CA,94103,849000,1,1.5,South of Market,1035,,1996,11,820,667,Active,,,http://www.redfin.com/CA/San-Francisco/125-Gilbert-St-94103/unit-5/home/12396098,San Francisco MLS,506118,N,Y,37.7730847,-122.4020908
MLS Listing,,Single Family Residential,254 Felton St,SAN FRANCISCO,CA,94134,1298000,5,3.0,SAN FRANCISCO,2354,2500,1981,11,551,,Active,,,http://www.redfin.com/CA/San-Francisco/254-Felton-St-94134/home/1559018,MLSListings,ML81810821,N,Y,37.729507,-122.40751
MLS Listing,,Single Family Residential,1318 Eddy St,San Francisco,CA,94115,1350000,3,2.0,Western Addition,1900,1020,2007,11,711,110,Active,,,http://www.redfin.com/CA/San-Francisco/1318-Eddy-St-94115/home/17306621,San Francisco MLS,505685,N,Y,37.7820466,-122.4296295
MLS Listing,,Condo/Co-op,616 Moraga St #4,San Francisco,CA,94122,795000,1,1.0,Inner Sunset,716,,1958,12,1110,301,Active,,,http://www.redfin.com/CA/San-Francisco/616-Moraga-St-94122/unit-4/home/1563748,San Francisco MLS,505774,N,Y,37.7566516,-122.4694351
MLS Listing,,Condo/Co-op,3701 Divisadero St #305,San Francisco,CA,94123,1049000,1,1.0,Marina,861,,1992,23,1218,580,Active,,,http://www.redfin.com/CA/San-Francisco/3701-Divisadero-St-94123/unit-305/home/990631,San Francisco MLS,504114,N,Y,37.8038437,-122.4439497
