SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-18-2018,Condo/Co-op,74 Laurie Meadows Dr #1,SAN MATEO,CA,94403,675000,1,1.0,SAN MATEO,840,78395,1965,648,804,450,Sold,,,http://www.redfin.com/CA/San-Mateo/74-Laurie-Meadows-Dr-94403/unit-1/home/981185,MLSListings,ML81727924,N,Y,37.5320491,-122.2860926
PAST SALE,April-23-2018,Condo/Co-op,3041 Los Prados St #104,SAN MATEO,CA,94403,750000,2,2.0,SAN MATEO,956,64155,1963,887,785,400,Sold,,,http://www.redfin.com/CA/San-Mateo/3041-Los-Prados-St-94403/unit-104/home/1899749,MLSListings,ML81697368,N,Y,37.5453324,-122.2821237
PAST SALE,November-10-2015,Single Family Residential,1924 Los Altos Dr,San Mateo,CA,94402,1725000,4,2.0,San Mateo,1720,9656,1961,1782,1003,,Sold,,,http://www.redfin.com/CA/San-Mateo/1924-Los-Altos-Dr-94402/home/748971,San Francisco MLS,438154,N,Y,37.5242672,-122.3377874
PAST SALE,February-26-2019,Condo/Co-op,4287 George Ave #3,SAN MATEO,CA,94403,855000,2,2.0,SAN MATEO,1040,78395,1965,578,822,450,Sold,,,http://www.redfin.com/CA/San-Mateo/4287-George-Ave-94403/unit-3/home/977751,MLSListings,ML81734769,N,Y,37.5320491,-122.2860926
PAST SALE,September-25-2020,Single Family Residential,1307 Birch Ave,SAN MATEO,CA,94402,1365000,3,1.0,SAN MATEO,1200,4500,1948,1,1138,,Sold,,,http://www.redfin.com/CA/San-Mateo/1307-Birch-Ave-94402/home/1957971,MLSListings,ML81806681,N,Y,37.5621048,-122.3067242
PAST SALE,March-24-2020,Condo/Co-op,3222 Glendora Dr #201,SAN MATEO,CA,94403,496000,0,1.0,SAN MATEO,435,,1973,186,1140,430,Sold,,,http://www.redfin.com/CA/San-Mateo/3222-Glendora-Dr-94403/unit-201/home/1813099,MLSListings,ML81782748,N,Y,37.532082,-122.3268381
PAST SALE,May-24-2017,Single Family Residential,3712 Branson Dr,SAN MATEO,CA,94403,1550000,5,3.0,SAN MATEO,2490,5000,1949,1221,622,,Sold,,,http://www.redfin.com/CA/San-Mateo/3712-Branson-Dr-94403/home/741577,MLSListings,ML81646488,N,Y,37.5397554,-122.2847722
PAST SALE,April-8-2020,Single Family Residential,2070 Polk Ave,SAN MATEO,CA,94403,1400000,3,2.0,SAN MATEO,1300,8800,1955,171,1077,,Sold,,,http://www.redfin.com/CA/San-Mateo/2070-Polk-Ave-94403/home/1266601,MLSListings,ML81784395,N,Y,37.564629,-122.2947395
PAST SALE,July-13-2018,Condo/Co-op,155 N El Camino Real #16,SAN MATEO,CA,94401,702000,2,1.0,SAN MATEO,860,,1949,806,816,525,Sold,,,http://www.redfin.com/CA/San-Mateo/155-N-El-Camino-Real-94401/unit-16/home/2038200,MLSListings,ML81709973,N,Y,37.567631,-122.332162
PAST SALE,October-11-2019,Condo/Co-op,1030 Shoreline Dr,SAN MATEO,CA,94404,1200000,3,2.0,SAN MATEO,1570,1545,1979,351,764,589,Sold,,,http://www.redfin.com/CA/San-Mateo/1030-Shoreline-Dr-94404/home/1537817,MLSListings,ML81767476,N,Y,37.557742,-122.290501
