SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-16-2020,Condo/Co-op,48 Langton St #3,San Francisco,CA,94103,1315000,2,2.5,South of Market,1266,,2009,102,1039,366,Sold,,,http://www.redfin.com/CA/San-Francisco/48-Langton-St-94103/unit-3/home/18999030,San Francisco MLS,496311,N,Y,37.7767997,-122.4092608
PAST SALE,November-30-2018,Multi-Family (2-4 Unit),211 Sawyer St,San Francisco,CA,94134,855000,6,5,Visitacion Valley,1950,1873,1959,666,438,,Sold,,,http://www.redfin.com/CA/San-Francisco/211-Sawyer-St-94134/home/1511306,San Francisco MLS,478879,N,Y,37.7147178,-122.4135547
PAST SALE,June-25-2019,Condo/Co-op,444 Francisco St #301,San Francisco,CA,94133,841000,1,1,North Beach,611,,1981,459,1376,585,Sold,,,http://www.redfin.com/CA/San-Francisco/444-Francisco-St-94133/unit-301/home/1028358,San Francisco MLS,485508,N,Y,37.804975,-122.4125495
PAST SALE,June-1-2018,Condo/Co-op,201 Harrison St #1129,San Francisco,CA,94105,661000,0,1,South Beach,432,,1991,848,1530,541,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-1129/home/2022078,San Francisco MLS,470735,N,Y,37.7875875,-122.3904715
PAST SALE,July-16-2020,Single Family Residential,4450 24th St,San Francisco,CA,94114,1760000,3,2,Noe Valley,1550,2945,1900,72,1135,,Sold,,,http://www.redfin.com/CA/San-Francisco/4450-24th-St-94114/home/1993140,San Francisco MLS,499002,N,Y,37.7510029,-122.4418359
PAST SALE,May-2-2019,Condo/Co-op,616 Moraga St #6,San Francisco,CA,94122,1270000,2,2,Inner Sunset,1436,,1958,513,884,488,Sold,,,http://www.redfin.com/CA/San-Francisco/616-Moraga-St-94122/unit-6/home/52348928,San Francisco MLS,482379,N,Y,37.7566516,-122.4694351
PAST SALE,April-1-2020,Condo/Co-op,370 Church St Unit B,San Francisco,CA,94114,1230000,1,1,Eureka Valley/Dolore,1050,,1981,178,1171,769,Sold,,,http://www.redfin.com/CA/San-Francisco/370-Church-St-94114/unit-B/home/2016768,San Francisco MLS,495530,N,Y,37.7649433,-122.4289323
PAST SALE,May-24-2018,Condo/Co-op,55 Page St #516,San Francisco,CA,94102,701000,0,1,Hayes Valley,479,,2008,856,1463,516,Sold,,,http://www.redfin.com/CA/San-Francisco/55-Page-St-94102/unit-516/home/17306751,San Francisco MLS,469822,N,Y,37.7738899,-122.4218771
PAST SALE,April-8-2019,Condo/Co-op,201 Harrison St #310,San Francisco,CA,94105,1005000,2,2,South Beach,797,,1991,537,1261,734,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Harrison-St-94105/unit-310/home/726549,San Francisco MLS,482264,N,Y,37.7875875,-122.3904715
PAST SALE,May-14-2018,Condo/Co-op,688 25th Ave,San Francisco,CA,94121,1350000,4,3,Central Richmond,2016,,2002,866,670,119,Sold,,,http://www.redfin.com/CA/San-Francisco/688-25th-Ave-94121/home/1258368,San Francisco MLS,468784,N,Y,37.7766834,-122.4842259
